episode,reward,gini,fairness_var,loss
0,84.44203,0.008405793662248362,0.00023152053472585976,0.0
1,99.239845,0.011996187956299753,0.0005216628196649253,0.0
2,83.804924,0.007463419403624272,0.00018080505833495408,0.0
3,88.97241,0.01788626434973173,0.0009594549192115664,0.0
4,93.35566,0.011408342924589698,0.00044160272227600217,0.0
5,94.90339,0.016084208115632714,0.0010391948744654655,0.663683506907249
6,81.994865,0.00700906213932706,0.00022040233307052404,0.3414153572916985
7,89.13547,0.012843171693936117,0.0005179367144592106,0.33665316373109816
8,82.86266,0.004815852228100104,8.97050485946238e-05,0.2576866500079632
9,82.642334,0.007393738493037594,0.00018300939700566232,0.2814744499325752
10,86.301094,0.008505220989151407,0.0002560243010520935,0.26126995086669924
11,83.56795,0.004875286627075814,8.658512524561957e-05,0.23483004927635193
12,79.52887,0.010255454746026293,0.000327841320540756,0.3004212698340416
13,74.306114,0.014925955803291258,0.00084688636707142,0.25164510801434514
14,74.05688,0.02283739656919659,0.002363086212426424,0.20718821465969087
15,83.18469,0.007092325298743818,0.00015723987598903477,0.2353564231097698
16,85.3444,0.008056828296420626,0.00021651112183462828,0.2575198206305504
17,95.96812,0.011185539552739154,0.0004053703451063484,0.23617154985666275
18,79.046005,0.008242807585291612,0.0002167354541597888,0.23530220568180085
19,84.69584,0.004755211081576061,7.612379704369232e-05,0.22675782680511475
20,91.65917,0.005700810955209024,0.00011167048069182783,0.27105491906404494
21,83.395256,0.007674423559412835,0.00018314222688786685,0.2491471740603447
22,90.95275,0.007431271493326674,0.00019963204977102578,0.24849114030599595
23,76.67036,0.005528128564434853,9.608039545128122e-05,0.28862241968512536
24,80.30804,0.00941221867675579,0.0002801246882881969,0.2433754822611809
25,82.11738,0.014046328611637238,0.0005933293723501265,0.2466422873735428
26,77.56254,0.003217301578451126,3.498154546832666e-05,0.2659965026378632
27,74.20172,0.015115367280865488,0.000693701091222465,0.258753564953804
28,74.942986,0.007697305484298145,0.00018296545022167265,0.24421634912490844
29,96.39657,0.0063315406355271,0.00012538375449366868,0.2522861608862877
30,86.68422,0.012850628658131358,0.0005962718278169632,0.28355908155441284
31,86.22391,0.010874093469190438,0.00043461238965392113,0.2830494034290314
32,81.51354,0.0065478965061485095,0.0001318896102020517,0.3319470617175102
33,68.64463,0.026168716125566815,0.0033548162318766117,0.25194755896925924
34,85.46519,0.007333432599071044,0.00016545206017326564,0.24267069458961488
35,84.12594,0.009153448252616991,0.0002736207388807088,0.2600024373829365
36,71.58589,0.0050471586924911715,7.791809912305325e-05,0.2334009176492691
37,90.6351,0.0036397986648997183,4.701264697359875e-05,0.23517148658633233
38,87.51705,0.0024194409788411697,2.010764364968054e-05,0.2516828352212906
39,78.48662,0.004210996388715804,5.826395863550715e-05,0.2582488003373146
40,84.20539,0.006886444754006682,0.0001842906349338591,0.24873566031455993
41,71.66414,0.016815427044513553,0.0008642165921628475,0.24072219297289849
42,81.183716,0.007203687884599352,0.000160575655172579,0.25587607234716414
43,69.18908,0.008868295699925532,0.0002807021955959499,0.26438256293535234
44,73.196205,0.022850017384560717,0.0015857534017413855,0.26980444371700285
45,67.850426,0.022343152653069964,0.0015882321167737246,0.24402924463152886
46,69.11115,0.011785609205931857,0.00044321719906292856,0.22148048192262648
47,84.05968,0.007952523776189047,0.0001898589835036546,0.2407659912109375
48,75.34145,0.01330137321356517,0.0006301602115854621,0.22133796229958536
49,69.86373,0.008636524676041146,0.00024437688989564776,0.26624986827373504
50,72.669044,0.015588548550476977,0.0007444065995514393,0.26593461498618126
51,75.25938,0.009789660248640697,0.0003043367760255933,0.24179648414254187
52,74.24036,0.00767043124801603,0.00018739429651759565,0.22710241451859475
53,70.792435,0.02090197887780909,0.001948119723238051,0.24217821061611175
54,64.847275,0.00768957187230801,0.00018810715118888766,0.25671047806739805
55,64.86557,0.018883606482835935,0.0016374115366488695,0.29147008925676343
56,65.15512,0.02814069649216444,0.0032051638700067997,0.22594428166747094
57,73.21356,0.016606645587301516,0.0008521471172571182,0.23680888146162032
58,71.3498,0.011710392042067586,0.0004089321009814739,0.24933616429567337
59,76.060455,0.0077701261931113486,0.00019325545872561634,0.2246232298016548
60,69.940575,0.007933183125289345,0.0002333456213818863,0.28035865277051925
61,75.17256,0.008616238414537847,0.00024345083511434495,0.29460406735539435
62,69.86734,0.04536532808326843,0.008021118119359016,0.24993895649909972
63,67.859245,0.011903513603179094,0.00042347158887423575,0.27330689013004306
64,69.19706,0.019626378197546313,0.0012915150728076696,0.22111579582095145
65,72.53654,0.00413055820656516,5.368966230889782e-05,0.23091843754053115
66,77.69897,0.017523588567315285,0.0016045753145590425,0.23952921181917192
67,68.00026,0.007433004044041347,0.00018280555377714336,0.24157286942005157
68,73.822815,0.02281857177142843,0.001683960435912013,0.2742481631040573
69,79.16125,0.008708325354857438,0.0002333185402676463,0.2710480533540249
70,68.13395,0.027079522757887498,0.0025484508369117975,0.24423668026924134
71,66.589714,0.019405604634641138,0.001478774705901742,0.24054041400551796
72,63.768635,0.015661484916730695,0.0008408779976889491,0.24591384053230286
73,72.7353,0.013179277518992949,0.0005299559561535716,0.24953055441379546
74,79.34801,0.01627289955278899,0.0008951543713919818,0.2670534494519234
75,72.94245,0.01191802983493151,0.00047951549640856683,0.265652497112751
76,84.52927,0.008208640606800932,0.0002730750129558146,0.2251453372836113
77,61.139687,0.008018162635808901,0.00019471051928121597,0.24274684309959413
78,61.15635,0.01019978913098818,0.00035048212157562375,0.2242205660045147
79,86.03176,0.010097367092232856,0.0003150179691147059,0.23884869664907454
80,91.15074,0.006122376074468416,0.0001254415838047862,0.2564751642942429
81,66.428345,0.01687775205981623,0.0010582435643300414,0.2615093344449997
82,78.31706,0.010505565780141612,0.0003619240887928754,0.23929784685373306
83,61.25791,0.018627609618500518,0.0010197461815550923,0.3168948821723461
84,73.28905,0.005551898290644619,0.00010674351506168023,0.26449904263019564
85,73.87937,0.019605916874307017,0.0011690480168908834,0.2578812500834465
86,63.920235,0.007541854912970658,0.00016494606097694486,0.252371419519186
87,76.7082,0.011563171022708207,0.0005029091844335198,0.2656802091002464
88,79.937195,0.012075204729955491,0.00042714839219115674,0.2628554689884186
89,81.61853,0.009331647073316018,0.00026800198247656226,0.26659738600254057
90,70.5413,0.014345825114889799,0.0006260425434447825,0.2576829248666763
91,67.10153,0.019812288596100736,0.0014802342047914863,0.2636298182606697
92,67.818405,0.024321448399589052,0.0019334623357281089,0.21374451398849487
93,66.02883,0.012928860149699961,0.0007103130919858813,0.28273014947772024
94,61.920555,0.01039029419677684,0.00033340929076075554,0.24431584686040878
95,74.73338,0.009361315448204177,0.0002754440938588232,0.2537489750981331
96,70.55622,0.0107994046258435,0.00035274800029583275,0.2344461488723755
97,75.62379,0.00611167298912374,0.00011450758029241115,0.23608213633298875
98,83.34559,0.013111100842776002,0.0006025139009580016,0.24805873349308968
99,80.87183,0.01138552022603423,0.0004336328711360693,0.27500392973423005
100,69.571724,0.013944576773174289,0.0006307995645329356,0.2442757746577263
101,73.38184,0.04082982785275102,0.004384957253932953,0.22413724824786185
102,83.00298,0.026429986697979135,0.0023295613937079906,0.2742743271589279
103,79.359085,0.022917178542371408,0.0017257875297218561,0.23745634347200395
104,85.87094,0.009990972164421574,0.00030028895707800984,0.2522300574183464
105,63.210625,0.022374885259917487,0.0014779351186007261,0.23789361387491226
106,75.30411,0.01493274206647155,0.0006485354388132691,0.23604701936244965
107,86.50947,0.01675987883222696,0.0008998895063996315,0.2674314077198505
108,48.632854,0.03364073538834278,0.003019439522176981,0.23551849260926247
109,74.72859,0.006356592814558137,0.00013022056373301893,0.23649500161409379
110,69.441086,0.010382562716318766,0.0003410042845644057,0.27877058878540995
111,70.46577,0.016552135374990007,0.001001538708806038,0.2557598280906677
112,74.06263,0.005651220012363067,0.00010447825479786843,0.22652124166488646
113,73.03052,0.0253147578717845,0.0023900731466710567,0.23133278399705887
114,66.529816,0.027039812798920648,0.0022741856519132853,0.23642714381217955
115,72.62176,0.011340149239738029,0.00043377099791541696,0.25951521247625353
116,76.131256,0.007812044003407959,0.00019485302618704736,0.23245739847421645
117,75.09192,0.01156172758560614,0.00041428982513025403,0.2332461027801037
118,90.851326,0.003435888365624029,3.803526487899944e-05,0.2493671092391014
119,85.13168,0.02095796599822597,0.0013216674560680985,0.23615833446383477
120,70.517555,0.0066739937218947,0.00013996611232869327,0.25468476057052614
121,77.98186,0.030655186028634818,0.002932746894657612,0.253814817070961
122,72.23592,0.009220310304579371,0.00027969543589279056,0.2505806313455105
123,76.7812,0.009514170885191797,0.0002767645346466452,0.22626109406352043
124,78.781334,0.034267674227709044,0.004028351977467537,0.2313862070441246
125,73.15035,0.012829639823927819,0.0004925344255752861,0.211575635522604
126,78.50631,0.011537910512637639,0.00041370396502316,0.23152248427271843
127,74.53989,0.0166689182558033,0.000949948385823518,0.2670163452625275
128,88.496735,0.0029287499477217427,3.252492024330422e-05,0.26342422246932984
129,71.422516,0.017344486988898122,0.0010869883699342608,0.23935265675187112
130,89.12706,0.02933391954477682,0.002751773688942194,0.24198069036006928
131,85.39907,0.017681436340492462,0.0010641781846061349,0.24125169724225998
132,86.95779,0.015105186099732215,0.0009142538765445352,0.2492971082031727
133,75.97078,0.01830291903293446,0.0011964949080720544,0.24533020228147506
134,83.10903,0.010001991462775806,0.0003160991473123431,0.20849937081336975
135,88.83291,0.00995043216965974,0.00030470103956758976,0.26688095957040786
136,64.59133,0.014937641369797694,0.0007987705757841468,0.25158239096403123
137,75.03006,0.008168565498755553,0.00021997913427185267,0.22782595694065094
138,83.47781,0.00949581680005962,0.00029226322658360004,0.24451766803860664
139,76.11376,0.007089112348137583,0.00015384987636934966,0.22849119067192078
140,75.205574,0.007197181518151519,0.0001580439566168934,0.24886108443140983
141,70.92937,0.020772646984613896,0.0014249508967623115,0.23299041211605073
142,75.72604,0.01136989070075134,0.0004849083779845387,0.24402835175395013
143,78.426414,0.011522745417139602,0.0004051199066452682,0.25142387896776197
144,80.99755,0.003023404733247803,3.138865213259123e-05,0.27932882905006406
145,68.57301,0.019442515029485907,0.0011076114606112242,0.25702346831560136
146,85.101364,0.027861533050928866,0.0025022465270012617,0.2220291629433632
147,83.64194,0.006397722598345368,0.00013149416190572083,0.2481596665084362
148,76.471725,0.012915654414690891,0.0005458275554701686,0.24628174781799317
149,66.134384,0.010921955986822551,0.0003711599565576762,0.2766277942061424
150,70.284225,0.0110423792527381,0.0004421706253197044,0.2234501573443413
